id_parada,fecha_operacion,tiempo_operacion_h,unidades_producidas,defectos_unidades,temperatura_promedio_c,velocidad_real_u_h,causa_parada,criticidad,duracion_parada_min,costo_parada_soles,observacion,turnos_nombre,turnos_supervisor,turnos_hora_inicio,turnos_hora_fin,procesos_nombre,procesos_familia,procesos_temperatura_objetivo_c,procesos_velocidad_objetivo_u_h,maquinas_nombre,maquinas_linea,maquinas_tipo_maquina,maquinas_antiguedad_anios
1,2026-03-20,9.09,1580, 23 ,159.38,218.1,Falta de insumo,alta,53.86,1686.91 aprox,,Manana,Ana Torres,06:00,14:00,Tratamiento termico,Termico,155.0,260.0,Empacadora 04,Linea B,Empaque,3.64
2,2026-04-18,10.84,5726,34,29.16,641.04,Limpieza  no  programada,Media,68.26,2164.96,Atencion mantenimiento,Manana,Ana Torres,06:00,14:00,Corte de piezas,transformacion,38.0,620.0,Empacadora 04,Linea B,Empaque,3.64
3,2026-03-22,4.36,1846,12,43.65,491.68,  Falla mecanica ,Baja,51.22,1119.83,,Manana,Ana Torres,06:00,14:00,Preparacion de insumo,Preparacion,45.0,520.0,prensa 02,Linea A,Prensado,6.78
4,2026-04-21, 5.81 ,,,27.12,"312,74",Mantenimiento correctivo,Alta,109.64,2499.95,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Etiquetadora 06,Linea C,Etiquetado,2.46
5,2026-04-26,8.83,2228,23,78.78,330.9,ESPERA DE OPERADOR,media, 36.63 ,1319.67,Validar causa,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Mezcladora 01,Linea A,Mezclado,4.18
6,2026-04-18,6.2,1563,25, 146.73 ,270.94,Falla electrica,Alta,88.75,2035.74,,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Selladora 08,Linea D,Sellado,7.96
7,2026-06-16,10.23,1921 aprox,23,30.1,277.07,  Mantenimiento correctivo ,  Critica , 90.1 ,2915.24,Validar causa,Tarde,Luis Ramos,14:00,22:00,Control de calidad,CaLiDaD,23.0,350.0,Llenadora 07,Linea D,Llenado,5.65
8,2026-04-17,9.48,3104,13,66.7,425.02,FaLtA De iNsUmO,Media,49.58,1156.53,Revisar sensor,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Selladora 08,Linea D,Sellado,7.96
9,2026-04-11,3.12, 794 ,19,63.91,377.44,CAMBIO DE FORMATO,Baja,40.03,1093.66,,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,prensa 02,Linea A,Prensado,6.78
10,2026-04-05,,5063,15,25.03,584.58,Cambio de formato,Baja,26.37,994.54,Validar causa,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,prensa 02,Linea A,Prensado,6.78
11,2026-03-08,2.1,353,16,157.83,205.99,Mantenimiento correctivo,  Alta ,62.82,1549.83,Revisar sensor,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,Empacadora 04,Linea B,Empaque,3.64
